TIMELINE,DATE,DAILY_USER,DAILY_TRANSACTION,DAILY_AVG_FEE,CUM_USER,CUM_TRANSACTION
Normal Days,2023-01-12 00:00:00.000,2131,10367,0.01343039037,24356,117209
Normal Days,2023-01-03 00:00:00.000,1935,7860,0.0162068271,5716,22968
Days After Launch,2023-01-22 00:00:00.000,2765,14080,0.01918958714,53442,268253
Days After Launch,2023-01-20 00:00:00.000,2550,11530,0.01475328109,47384,237173
Normal Days,2023-01-08 00:00:00.000,1802,8792,0.01712604845,14610,65676
Normal Days,2023-01-06 00:00:00.000,1794,8980,0.01642052628,11158,49505
Days After Launch,2023-01-15 00:00:00.000,3967,22973,0.0156974225,34335,170349
Day of Station Launch,2023-01-14 00:00:00.000,3511,18978,0.01471870929,30368,147376
Normal Days,2023-01-09 00:00:00.000,3058,15078,0.01593814723,17668,80754
Normal Days,2023-01-07 00:00:00.000,1650,7379,0.01830183467,12808,56884
Days After Launch,2023-01-16 00:00:00.000,3279,17901,0.01447195883,37614,188250
Normal Days,2023-01-10 00:00:00.000,2547,14478,0.01598990164,20215,95232
Days After Launch,2023-01-21 00:00:00.000,3293,17000,0.01392456271,50677,254173
Normal Days,2023-01-01 00:00:00.000,1741,7051,0.01618886739,1741,7051
Normal Days,2023-01-13 00:00:00.000,2501,11189,0.01388174868,26857,128398
Normal Days,2023-01-11 00:00:00.000,2010,11610,0.0162988031,22225,106842
Days After Launch,2023-01-19 00:00:00.000,2276,10959,0.01365402865,44834,225643
Days After Launch,2023-01-18 00:00:00.000,2493,14725,0.01666388672,42558,214684
Normal Days,2023-01-04 00:00:00.000,1846,8791,0.01588226982,7562,31759
Normal Days,2023-01-05 00:00:00.000,1802,8766,0.01820825793,9364,40525
Days After Launch,2023-01-17 00:00:00.000,2451,11709,0.0135950281,40065,199959
Normal Days,2023-01-02 00:00:00.000,2040,8057,0.0159848837,3781,15108
