TIMELINE,DATE,ACTION,LP_TRANSACTION_COUNT,USER_COUNT,TOTAL_ACTION_AMOUNT,AVG_ACTION_AMOUNT
Normal Days,2023-01-01 00:00:00.000,provide_liquidity,63,49,253830.545442,2014.528138428571
Normal Days,2023-01-01 00:00:00.000,withdraw_liquidity,4,4,479.482334,59.93529175
Normal Days,2023-01-01 00:00:00.000,mint_lp_token,63,49,19763.382999,313.704492047619
Normal Days,2023-01-01 00:00:00.000,burn_lp_token,4,4,226.170931,56.54273275
Normal Days,2023-01-02 00:00:00.000,mint_lp_token,90,72,125272.082551,1391.912028344444
Normal Days,2023-01-02 00:00:00.000,provide_liquidity,90,72,824219.57403,4578.9976335
Normal Days,2023-01-02 00:00:00.000,burn_lp_token,9,8,11055.519213,1228.391023666667
Normal Days,2023-01-02 00:00:00.000,withdraw_liquidity,9,8,226999.200601,12611.066700055557
Normal Days,2023-01-03 00:00:00.000,burn_lp_token,9,9,33108.884628,3678.764958666667
Normal Days,2023-01-03 00:00:00.000,withdraw_liquidity,9,9,313258.500019,17403.250001055556
Normal Days,2023-01-03 00:00:00.000,mint_lp_token,83,60,107071.412538,1290.01701853012
Normal Days,2023-01-03 00:00:00.000,provide_liquidity,83,60,541217.387052,3260.34570513253
Normal Days,2023-01-04 00:00:00.000,burn_lp_token,6,6,639.386253,106.5643755
Normal Days,2023-01-04 00:00:00.000,withdraw_liquidity,6,6,6477.015385,539.751282083333
Normal Days,2023-01-04 00:00:00.000,provide_liquidity,96,69,518851.969815,2702.354009453125
Normal Days,2023-01-04 00:00:00.000,mint_lp_token,96,69,102896.417635,1071.837683697917
Normal Days,2023-01-05 00:00:00.000,mint_lp_token,78,58,47312.331581,606.568353602564
Normal Days,2023-01-05 00:00:00.000,withdraw_liquidity,12,11,1212826.004928,50534.416872
Normal Days,2023-01-05 00:00:00.000,provide_liquidity,78,58,354913.313041,2275.08534000641
Normal Days,2023-01-05 00:00:00.000,burn_lp_token,12,11,59300.913394,4941.742782833333
Normal Days,2023-01-06 00:00:00.000,withdraw_liquidity,6,6,180698.312834,15058.192736166668
