USERS,TOTAL_AMOUNT
terra1l72xv27ez68v0swe9ha29txxgcple89dugyhre,2521352.522422
terra1lgdpa7xl7n5k9wg65chldpkc06j2p5kg2cgf8w,1651980.907762
terra1d2mlqv92p37dxga7z06wc84ktrqa5dnjghl8lr,112500
terra1y6wu644sfr3ds7kxnckk0sn8k9stmkt5330fce,54702.413228
terra1pnav0vqfel3xymwretd2vhr9gfmvnuvatnw3ja,49000.1
terra1yyd4fxflr2xyq2u6ckmauq3wmvwseue4jgmvsu,44235.883597
terra1sm0p7gug459al3lwxdk0remmhlrmr464jxsq3d,37551.339829
terra1fcaj4ewg9vws3rgfpdaal94uhh4xj2vj5u79tq,36305.333144
terra1czk6ltagzalplnemy7ptlccr800vjwrqjzva94,35102.5
terra1vsvn8wycurdn7pmkg7xewx8jrct08dquu7x6qj,28212.498243
