PRICE_RANGE,DATE,SWAPS_COUNT
10$-100$,2023-01-07 00:00:00.000,140
More Than 5000$,2023-01-11 00:00:00.000,25
100$-500$,2023-01-14 00:00:00.000,2770
10$-100$,2023-01-19 00:00:00.000,342
1000$-5000$,2023-01-15 00:00:00.000,113
10$-100$,2023-01-06 00:00:00.000,169
1000$-5000$,2023-01-18 00:00:00.000,108
More Than 5000$,2023-01-08 00:00:00.000,26
Less than 10$,2023-01-04 00:00:00.000,62
1000$-5000$,2023-01-05 00:00:00.000,36
100$-500$,2023-01-16 00:00:00.000,2030
10$-100$,2023-01-02 00:00:00.000,170
10$-100$,2023-01-11 00:00:00.000,352
Less than 10$,2023-01-01 00:00:00.000,55
100$-500$,2023-01-01 00:00:00.000,101
10$-100$,2023-01-15 00:00:00.000,1184
1000$-5000$,2023-01-08 00:00:00.000,27
100$-500$,2023-01-04 00:00:00.000,261
500$-1000$,2023-01-02 00:00:00.000,44
100$-500$,2023-01-20 00:00:00.000,664
500$-1000$,2023-01-11 00:00:00.000,229
More Than 5000$,2023-01-17 00:00:00.000,59
Less than 10$,2023-01-08 00:00:00.000,63
1000$-5000$,2023-01-10 00:00:00.000,54
100$-500$,2023-01-02 00:00:00.000,153
10$-100$,2023-01-22 00:00:00.000,659
1000$-5000$,2023-01-03 00:00:00.000,37
500$-1000$,2023-01-16 00:00:00.000,804
500$-1000$,2023-01-14 00:00:00.000,837
10$-100$,2023-01-08 00:00:00.000,154
100$-500$,2023-01-08 00:00:00.000,144
More Than 5000$,2023-01-01 00:00:00.000,25
10$-100$,2023-01-05 00:00:00.000,172
500$-1000$,2023-01-18 00:00:00.000,500
10$-100$,2023-01-17 00:00:00.000,438
Less than 10$,2023-01-02 00:00:00.000,93
500$-1000$,2023-01-15 00:00:00.000,1159
1000$-5000$,2023-01-12 00:00:00.000,36
More Than 5000$,2023-01-19 00:00:00.000,49
10$-100$,2023-01-18 00:00:00.000,618
10$-100$,2023-01-12 00:00:00.000,412
1000$-5000$,2023-01-16 00:00:00.000,76
More Than 5000$,2023-01-02 00:00:00.000,42
500$-1000$,2023-01-12 00:00:00.000,233
1000$-5000$,2023-01-22 00:00:00.000,62
1000$-5000$,2023-01-02 00:00:00.000,26
100$-500$,2023-01-09 00:00:00.000,1250
Less than 10$,2023-01-20 00:00:00.000,134
More Than 5000$,2023-01-12 00:00:00.000,41
500$-1000$,2023-01-01 00:00:00.000,32
100$-500$,2023-01-11 00:00:00.000,866
1000$-5000$,2023-01-01 00:00:00.000,19
More Than 5000$,2023-01-20 00:00:00.000,49
Less than 10$,2023-01-22 00:00:00.000,103
1000$-5000$,2023-01-11 00:00:00.000,36
Less than 10$,2023-01-03 00:00:00.000,47
Less than 10$,2023-01-05 00:00:00.000,106
500$-1000$,2023-01-17 00:00:00.000,432
100$-500$,2023-01-10 00:00:00.000,1556
Less than 10$,2023-01-11 00:00:00.000,79
1000$-5000$,2023-01-19 00:00:00.000,55
100$-500$,2023-01-05 00:00:00.000,203
Less than 10$,2023-01-09 00:00:00.000,128
500$-1000$,2023-01-10 00:00:00.000,500
Less than 10$,2023-01-10 00:00:00.000,79
10$-100$,2023-01-09 00:00:00.000,691
10$-100$,2023-01-04 00:00:00.000,183
1000$-5000$,2023-01-07 00:00:00.000,28
500$-1000$,2023-01-05 00:00:00.000,58
100$-500$,2023-01-06 00:00:00.000,175
500$-1000$,2023-01-20 00:00:00.000,195
10$-100$,2023-01-20 00:00:00.000,274
More Than 5000$,2023-01-16 00:00:00.000,66
More Than 5000$,2023-01-21 00:00:00.000,96
1000$-5000$,2023-01-17 00:00:00.000,89
Less than 10$,2023-01-17 00:00:00.000,122
500$-1000$,2023-01-09 00:00:00.000,370
More Than 5000$,2023-01-03 00:00:00.000,41
1000$-5000$,2023-01-09 00:00:00.000,81
100$-500$,2023-01-15 00:00:00.000,3328
1000$-5000$,2023-01-14 00:00:00.000,66
1000$-5000$,2023-01-13 00:00:00.000,51
1000$-5000$,2023-01-04 00:00:00.000,34
10$-100$,2023-01-21 00:00:00.000,571
More Than 5000$,2023-01-18 00:00:00.000,102
1000$-5000$,2023-01-21 00:00:00.000,77
More Than 5000$,2023-01-13 00:00:00.000,31
10$-100$,2023-01-14 00:00:00.000,1089
500$-1000$,2023-01-21 00:00:00.000,712
500$-1000$,2023-01-07 00:00:00.000,25
Less than 10$,2023-01-18 00:00:00.000,235
1000$-5000$,2023-01-06 00:00:00.000,23
Less than 10$,2023-01-16 00:00:00.000,228
10$-100$,2023-01-01 00:00:00.000,119
500$-1000$,2023-01-04 00:00:00.000,106
100$-500$,2023-01-03 00:00:00.000,349
500$-1000$,2023-01-03 00:00:00.000,96
Less than 10$,2023-01-14 00:00:00.000,199
More Than 5000$,2023-01-15 00:00:00.000,142
100$-500$,2023-01-12 00:00:00.000,905
100$-500$,2023-01-07 00:00:00.000,94
10$-100$,2023-01-10 00:00:00.000,810
Less than 10$,2023-01-21 00:00:00.000,208
10$-100$,2023-01-13 00:00:00.000,415
500$-1000$,2023-01-06 00:00:00.000,61
100$-500$,2023-01-19 00:00:00.000,831
More Than 5000$,2023-01-22 00:00:00.000,74
500$-1000$,2023-01-19 00:00:00.000,266
10$-100$,2023-01-03 00:00:00.000,129
Less than 10$,2023-01-15 00:00:00.000,245
More Than 5000$,2023-01-04 00:00:00.000,36
500$-1000$,2023-01-13 00:00:00.000,215
Less than 10$,2023-01-06 00:00:00.000,59
More Than 5000$,2023-01-07 00:00:00.000,32
100$-500$,2023-01-21 00:00:00.000,1913
100$-500$,2023-01-13 00:00:00.000,842
100$-500$,2023-01-18 00:00:00.000,1498
1000$-5000$,2023-01-20 00:00:00.000,48
More Than 5000$,2023-01-09 00:00:00.000,116
500$-1000$,2023-01-08 00:00:00.000,48
Less than 10$,2023-01-13 00:00:00.000,122
More Than 5000$,2023-01-05 00:00:00.000,51
100$-500$,2023-01-22 00:00:00.000,2006
Less than 10$,2023-01-19 00:00:00.000,89
Less than 10$,2023-01-07 00:00:00.000,63
More Than 5000$,2023-01-10 00:00:00.000,71
Less than 10$,2023-01-12 00:00:00.000,74
10$-100$,2023-01-16 00:00:00.000,812
500$-1000$,2023-01-22 00:00:00.000,792
More Than 5000$,2023-01-14 00:00:00.000,98
100$-500$,2023-01-17 00:00:00.000,1172
More Than 5000$,2023-01-06 00:00:00.000,22
