Date,New Users,Existing Users,New User Percentage
2022-11-01 00:00:00.000,150,1723,8.0085
2022-07-26 00:00:00.000,228,1242,15.5102
2022-11-09 00:00:00.000,175,1531,10.2579
2022-07-28 00:00:00.000,267,1387,16.1427
2022-09-23 00:00:00.000,191,1448,11.6534
2022-09-02 00:00:00.000,366,1604,18.5787
2022-10-14 00:00:00.000,157,1737,8.2893
2022-07-05 00:00:00.000,413,1494,21.6571
2022-08-02 00:00:00.000,389,1775,17.976
2022-08-07 00:00:00.000,266,1438,15.6103
2022-09-22 00:00:00.000,222,1489,12.9749
2022-08-22 00:00:00.000,203,1252,13.9519
2022-10-24 00:00:00.000,117,1551,7.0144
2023-01-11 00:00:00.000,140,1880,6.9307
2023-01-15 00:00:00.000,362,3741,8.8228
2022-08-20 00:00:00.000,181,1115,13.966
2023-01-13 00:00:00.000,198,2310,7.8947
2022-09-13 00:00:00.000,661,2499,20.9177
2022-08-31 00:00:00.000,415,1641,20.1848
2023-01-12 00:00:00.000,180,1960,8.4112
2022-10-23 00:00:00.000,123,1542,7.3874
2022-09-27 00:00:00.000,267,1840,12.672
2022-11-16 00:00:00.000,151,1427,9.5691
2022-08-29 00:00:00.000,324,1418,18.5993
2022-10-18 00:00:00.000,131,1622,7.4729
2023-01-21 00:00:00.000,231,3095,6.9453
2022-12-19 00:00:00.000,140,1598,8.0552
2022-10-25 00:00:00.000,124,1552,7.3986
2022-12-15 00:00:00.000,142,1630,8.0135
2022-09-10 00:00:00.000,2146,5017,29.9595
2022-08-23 00:00:00.000,220,1390,13.6646
2022-08-15 00:00:00.000,250,1671,13.0141
2022-12-13 00:00:00.000,237,1810,11.5779
2022-11-24 00:00:00.000,174,2441,6.6539
2023-01-04 00:00:00.000,112,1743,6.0377
2022-10-12 00:00:00.000,248,2415,9.3128
2022-09-25 00:00:00.000,187,1477,11.238
2022-09-08 00:00:00.000,743,2108,26.061
2022-08-04 00:00:00.000,277,1440,16.1328
2022-10-05 00:00:00.000,210,1815,10.3704
2022-12-09 00:00:00.000,115,1558,6.8739
2022-10-17 00:00:00.000,145,1660,8.0332
2022-11-03 00:00:00.000,122,1525,7.4074
2022-12-24 00:00:00.000,80,1500,5.0633
2022-11-14 00:00:00.000,507,1546,24.6956
2022-07-30 00:00:00.000,282,1603,14.9602
2022-07-14 00:00:00.000,284,1398,16.8847
2023-01-09 00:00:00.000,159,2907,5.1859
2022-12-22 00:00:00.000,153,1633,8.5666
2022-11-26 00:00:00.000,131,2047,6.0147
2022-10-13 00:00:00.000,150,1767,7.8247
2023-01-06 00:00:00.000,114,1689,6.3228
2022-08-05 00:00:00.000,266,1373,16.2294
2022-11-27 00:00:00.000,129,1960,6.1752
2022-07-24 00:00:00.000,247,1244,16.5661
2022-12-23 00:00:00.000,122,1593,7.1137
2022-07-13 00:00:00.000,319,1448,18.0532
2022-08-28 00:00:00.000,322,1398,18.7209
2022-09-20 00:00:00.000,283,1553,15.4139
2022-09-29 00:00:00.000,231,1615,12.5135
2022-07-12 00:00:00.000,315,1459,17.7565
2022-07-15 00:00:00.000,372,1751,17.5224
2022-08-30 00:00:00.000,314,1499,17.3194
2022-10-01 00:00:00.000,190,1705,10.0264
2022-11-08 00:00:00.000,165,1584,9.434
2022-07-29 00:00:00.000,308,1492,17.1111
2022-11-21 00:00:00.000,102,1441,6.6105
2022-08-25 00:00:00.000,211,1287,14.0854
2022-10-30 00:00:00.000,136,1747,7.2225
2022-09-21 00:00:00.000,279,1575,15.0485
2022-09-04 00:00:00.000,810,2511,24.3902
2022-09-11 00:00:00.000,1241,3391,26.7919
2023-01-10 00:00:00.000,162,2390,6.348
2022-11-20 00:00:00.000,124,1514,7.5702
2022-12-05 00:00:00.000,133,2081,6.0072
2022-10-03 00:00:00.000,263,1772,12.9238
2022-10-02 00:00:00.000,224,1880,10.6464
2022-07-22 00:00:00.000,272,1271,17.628
2022-12-16 00:00:00.000,124,1591,7.2303
2022-08-03 00:00:00.000,319,1577,16.8249
2022-12-12 00:00:00.000,117,1731,6.3312
2022-12-18 00:00:00.000,101,1428,6.6056
2023-01-05 00:00:00.000,95,1725,5.2198
2022-09-18 00:00:00.000,324,1700,16.0079
2022-08-13 00:00:00.000,265,1321,16.7087
2022-11-10 00:00:00.000,400,1590,20.1005
2022-11-29 00:00:00.000,146,1656,8.1021
2022-09-19 00:00:00.000,321,1829,14.9302
2022-11-12 00:00:00.000,183,1350,11.9374
2022-07-16 00:00:00.000,339,1598,17.5013
2022-10-16 00:00:00.000,142,1537,8.4574
2022-10-22 00:00:00.000,130,1386,8.5752
2022-11-15 00:00:00.000,327,1531,17.5996
2022-12-10 00:00:00.000,81,1528,5.0342
2022-07-10 00:00:00.000,371,1339,21.6959
2022-11-07 00:00:00.000,149,1397,9.6378
2022-12-14 00:00:00.000,174,1676,9.4054
2023-01-07 00:00:00.000,105,1557,6.3177
2022-10-27 00:00:00.000,178,1553,10.2831
2022-07-21 00:00:00.000,258,1264,16.9514
2022-10-26 00:00:00.000,153,1713,8.1994
2022-08-12 00:00:00.000,204,1343,13.1868
2022-07-06 00:00:00.000,1158,1507,43.4522
2022-10-19 00:00:00.000,136,1525,8.1878
2022-07-11 00:00:00.000,285,1428,16.6375
2022-10-15 00:00:00.000,151,1637,8.4452
2022-08-26 00:00:00.000,273,1705,13.8018
2022-07-18 00:00:00.000,381,1932,16.4721
2022-12-07 00:00:00.000,103,1701,5.7095
2023-01-03 00:00:00.000,141,1804,7.2494
